as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-10-23,GLD,HELD,0.26,LOW,111.5,111.43,-0.063,WRONG,2015-10-26,BACKFILL
2015-10-23,QQQ,LONG,4.87,MEDIUM,104.33,104.4,0.067,RIGHT,2015-10-26,BACKFILL
2015-10-26,BTC,LONG,15.61,HIGH,285.3,293.79,2.976,RIGHT,2015-10-27,BACKFILL
2015-10-26,GLD,HELD,0.22,LOW,111.43,111.68,0.224,RIGHT,2015-10-27,BACKFILL
2015-10-26,QQQ,LONG,4.9,MEDIUM,104.4,104.61,0.201,RIGHT,2015-10-27,BACKFILL
2015-10-27,BTC,LONG,18.9,HIGH,293.79,304.62,3.686,RIGHT,2015-10-28,BACKFILL
2015-10-27,GLD,HELD,0.46,LOW,111.68,110.78,-0.806,WRONG,2015-10-28,BACKFILL
2015-10-27,QQQ,LONG,5.06,HIGH,104.61,105.48,0.832,RIGHT,2015-10-28,BACKFILL
2015-10-28,BTC,LONG,23.1,HIGH,304.62,313.86,3.033,RIGHT,2015-10-29,BACKFILL
2015-10-28,GLD,HELD,-0.32,LOW,110.78,109.72,-0.957,WRONG,2015-10-29,BACKFILL
2015-10-28,QQQ,LONG,5.87,HIGH,105.48,105.31,-0.161,WRONG,2015-10-29,BACKFILL
2015-10-29,BTC,LONG,26.6,HIGH,313.86,328.02,4.512,RIGHT,2015-10-30,BACKFILL
2015-10-29,GLD,HELD,-1.24,LOW,109.72,109.3,-0.383,WRONG,2015-10-30,BACKFILL
2015-10-29,QQQ,LONG,5.64,HIGH,105.31,104.84,-0.446,WRONG,2015-10-30,BACKFILL
2015-10-30,BTC,LONG,32.03,HIGH,328.02,361.19,10.112,RIGHT,2015-11-02,BACKFILL
2015-10-30,GLD,HELD,-1.59,LOW,109.3,108.59,-0.65,WRONG,2015-11-02,BACKFILL
2015-10-30,QQQ,LONG,5.12,HIGH,104.84,106.02,1.126,RIGHT,2015-11-02,BACKFILL
2015-11-02,BTC,LONG,44.92,HIGH,361.19,403.42,11.692,RIGHT,2015-11-03,BACKFILL
2015-11-02,GLD,HELD,-2.2,MEDIUM,108.59,106.98,-1.483,WRONG,2015-11-03,BACKFILL
2015-11-02,QQQ,LONG,6.25,HIGH,106.02,106.39,0.349,RIGHT,2015-11-03,BACKFILL
2015-11-03,BTC,LONG,61.2,HIGH,403.42,411.56,2.018,RIGHT,2015-11-04,BACKFILL
2015-11-03,GLD,HELD,-3.6,MEDIUM,106.98,105.97,-0.944,WRONG,2015-11-04,BACKFILL
2015-11-03,QQQ,LONG,6.55,HIGH,106.39,106.4,0.009,RIGHT,2015-11-04,BACKFILL
2015-11-04,BTC,LONG,63.76,HIGH,411.56,386.35,-6.125,WRONG,2015-11-05,BACKFILL
2015-11-04,GLD,HELD,-4.46,MEDIUM,105.97,105.64,-0.311,WRONG,2015-11-05,BACKFILL
2015-11-04,QQQ,LONG,6.49,HIGH,106.4,106.12,-0.263,WRONG,2015-11-05,BACKFILL
2015-11-05,BTC,LONG,53.19,HIGH,386.35,374.47,-3.075,WRONG,2015-11-06,BACKFILL
2015-11-05,GLD,HELD,-4.7,MEDIUM,105.64,104.1,-1.458,WRONG,2015-11-06,BACKFILL
2015-11-05,QQQ,LONG,6.15,HIGH,106.12,106.19,0.066,RIGHT,2015-11-06,BACKFILL
2015-11-06,BTC,LONG,48.01,HIGH,374.47,380.26,1.546,RIGHT,2015-11-09,BACKFILL
2015-11-06,GLD,HELD,-6.02,HIGH,104.1,104.4,0.288,RIGHT,2015-11-09,BACKFILL
2015-11-06,QQQ,LONG,6.16,HIGH,106.19,105.06,-1.064,WRONG,2015-11-09,BACKFILL
2015-11-09,BTC,LONG,49.76,HIGH,380.26,336.82,-11.424,WRONG,2015-11-10,BACKFILL
2015-11-09,GLD,HELD,-5.68,HIGH,104.4,104.18,-0.211,WRONG,2015-11-10,BACKFILL
2015-11-09,QQQ,LONG,4.98,MEDIUM,105.06,104.79,-0.257,WRONG,2015-11-10,BACKFILL
2015-11-10,BTC,LONG,32.33,HIGH,336.82,311.08,-7.642,WRONG,2015-11-11,BACKFILL
2015-11-10,GLD,HELD,-5.82,HIGH,104.18,103.83,-0.336,WRONG,2015-11-11,BACKFILL
2015-11-10,QQQ,LONG,4.67,MEDIUM,104.79,104.66,-0.124,WRONG,2015-11-11,BACKFILL
2015-11-11,BTC,LONG,21.98,HIGH,311.08,338.15,8.702,RIGHT,2015-11-12,BACKFILL
2015-11-11,GLD,HELD,-6.07,HIGH,103.83,103.85,0.019,RIGHT,2015-11-12,BACKFILL
2015-11-11,QQQ,LONG,4.5,MEDIUM,104.66,103.65,-0.965,WRONG,2015-11-12,BACKFILL
2015-11-12,BTC,LONG,32.2,HIGH,338.15,336.75,-0.414,WRONG,2015-11-13,BACKFILL
2015-11-12,GLD,HELD,-5.99,HIGH,103.85,103.56,-0.279,WRONG,2015-11-13,BACKFILL
2015-11-12,QQQ,LONG,3.46,MEDIUM,103.65,101.61,-1.968,WRONG,2015-11-13,BACKFILL
2015-11-13,BTC,LONG,31.25,HIGH,336.75,330.75,-1.782,WRONG,2015-11-16,BACKFILL
2015-11-13,GLD,HELD,-6.19,HIGH,103.56,103.71,0.145,RIGHT,2015-11-16,BACKFILL
2015-11-13,QQQ,LONG,1.4,LOW,101.61,103.07,1.437,RIGHT,2015-11-16,BACKFILL
2015-11-16,BTC,LONG,28.56,HIGH,330.75,335.09,1.312,RIGHT,2015-11-17,BACKFILL
2015-11-16,GLD,HELD,-5.99,HIGH,103.71,102.34,-1.321,WRONG,2015-11-17,BACKFILL
2015-11-16,QQQ,LONG,2.83,MEDIUM,103.07,103.14,0.068,RIGHT,2015-11-17,BACKFILL
2015-11-17,BTC,LONG,29.88,HIGH,335.09,334.59,-0.149,WRONG,2015-11-18,BACKFILL
2015-11-17,GLD,HELD,-7.16,HIGH,102.34,102.43,0.088,RIGHT,2015-11-18,BACKFILL
2015-11-17,QQQ,LONG,2.88,MEDIUM,103.14,105.12,1.92,RIGHT,2015-11-18,BACKFILL
2015-11-18,BTC,LONG,29.32,HIGH,334.59,326.15,-2.522,WRONG,2015-11-19,BACKFILL
2015-11-18,GLD,HELD,-7.0,HIGH,102.43,103.56,1.103,RIGHT,2015-11-19,BACKFILL
2015-11-18,QQQ,LONG,4.8,MEDIUM,105.12,105.19,0.067,RIGHT,2015-11-19,BACKFILL
2015-11-19,BTC,LONG,25.73,HIGH,326.15,322.02,-1.266,WRONG,2015-11-20,BACKFILL
2015-11-19,GLD,HELD,-5.91,HIGH,103.56,103.09,-0.454,WRONG,2015-11-20,BACKFILL
2015-11-19,QQQ,LONG,4.83,MEDIUM,105.19,105.9,0.675,RIGHT,2015-11-20,BACKFILL
2015-11-20,BTC,LONG,23.86,HIGH,322.02,323.05,0.32,RIGHT,2015-11-23,BACKFILL
2015-11-20,GLD,HELD,-6.27,HIGH,103.09,102.26,-0.805,WRONG,2015-11-23,BACKFILL
2015-11-20,QQQ,LONG,5.49,HIGH,105.9,105.6,-0.283,WRONG,2015-11-23,BACKFILL
2015-11-23,BTC,LONG,23.97,HIGH,323.05,320.05,-0.929,WRONG,2015-11-24,BACKFILL
